step,time_fs,fermi_raw,fermi_ev,fermi_cumavg_ev
1,1.0,0.07010552232769,1.9076684460355082,1.9076684460355082
2,2.0,0.0698255736859,1.900050655414721,1.9038595507251146
3,3.0,0.06939887735186,1.8884396566594113,1.898719586036547
4,4.0,0.06888687747916,1.874507430365475,1.892666547118779
5,5.0,0.06837709270915,1.8606354800864107,1.8862603337123052
6,6.0,0.06795999447413,1.8492856589107614,1.8800978879120478
7,7.0,0.06771008111426,1.8424851699473062,1.8747246424885131
8,8.0,0.06767282491953,1.8414713772424525,1.8705679843327556
9,9.0,0.06786019389792,1.8465699468839392,1.8679015357273316
10,10.0,0.06824560626925,1.8570575517841816,1.8668171373330165
11,11.0,0.06876012202427,1.871058238723677,1.8672026920048947
12,12.0,0.0693121655351,1.8860801079214635,1.868775809997942
13,13.0,0.06981682300882,1.899812537360783,1.8711632505643143
14,14.0,0.07022782708869,1.9109965281268027,1.8740084846759206
15,15.0,0.07054194811427,1.9195441966818458,1.877044198809649
16,16.0,0.07079064257472,1.9263115177023882,1.880123406240445
17,17.0,0.07102042458405,1.9325642047106462,1.8832081590916332
18,18.0,0.07128041895782,1.9396390120370854,1.8863432064774917
19,19.0,0.07160130983114,1.9483708975338085,1.889607821796245
20,20.0,0.07199024570048,1.9589543816993382,1.8930751497913996
21,21.0,0.07241589905048,1.9705369994130868,1.8967638092971941
22,22.0,0.07281449717913,1.98138340704871,1.9006101546495358
23,23.0,0.07313195586634,1.9900218980035256,1.9044976217518832
24,24.0,0.07332526225952,1.9952820329321657,1.9082803055510615
25,25.0,0.07337686676337,1.9966862630184605,1.9118165438497576
26,26.0,0.07328016862087,1.9940549725136234,1.9149795603368294
27,27.0,0.07304302841394,1.9876020587483976,1.9176692825002208
28,28.0,0.07268361531915,1.977821930204201,1.9198175913467916
29,29.0,0.07223250367207,1.9655465569354433,1.9213944522291588
30,30.0,0.07173686780596,1.9520596179453593,1.922416624419699
31,31.0,0.07124423203245,1.9386543156337877,1.9229404209104761
32,32.0,0.07079300216306,1.9263757253720897,1.9230477741749015
33,33.0,0.07039973287771,1.9156743229497468,1.9228243362589876
34,34.0,0.07005366206781,1.9062572564730962,1.9223370692064614
35,35.0,0.06971300506895,1.8969875072997178,1.9216127960091256
36,36.0,0.06935489174733,1.8872427473852822,1.9206580724362412
37,37.0,0.06897402008649,1.876878701512014,1.919474846195046
38,38.0,0.06858281253776,1.8662334018011757,1.918073755553102
39,39.0,0.06819093306264,1.8555698180418103,1.9164710904887101
40,40.0,0.06779914310135,1.8449086700778476,1.9146820299784384
41,41.0,0.06740899223452,1.8342921241463295,1.9127213005678991
42,42.0,0.06702790221748,1.823922136498164,1.910607034756715
43,43.0,0.06668420254116,1.8145695918531992,1.9083736058519822
44,44.0,0.06639424385612,1.806679414079197,1.9060623742207825
45,45.0,0.06617411047516,1.8006892796242593,1.9037207498964155
46,46.0,0.06603336674701,1.7968594476758692,1.9013976781090123
47,47.0,0.06595447928028,1.7947128103487118,1.8991277873056018
48,48.0,0.0659136499605,1.7936017879580173,1.8969293289858602
49,49.0,0.06588988523211,1.7929551167547657,1.8948074062872666
50,50.0,0.06588688832736,1.7928735668220712,1.8927687294979625
51,51.0,0.06592366315636,1.7938742608981204,1.8908296222705148
52,52.0,0.06603278290161,1.7968435604331816,1.8890221980044122
53,53.0,0.0662517937843,1.8028031501541344,1.8873954235166712
54,54.0,0.06658537289517,1.811880300183611,1.8859969953067999
55,55.0,0.06701724421759,1.8236321175465475,1.8848630884384316
56,56.0,0.06749888336897,1.8367381865259385,1.8840037151899942
57,57.0,0.06797285103986,1.8496355038866377,1.8834007641144965
58,58.0,0.06836846764418,1.8604007801121152,1.8830042126661797
59,59.0,0.06862728869642,1.867443659733211,1.8827404744808751
60,60.0,0.06869919371186,1.8694002948813722,1.8825181381542169
61,61.0,0.06858654113116,1.8663348619963374,1.8822528385450712
62,62.0,0.06832893497271,1.8593250413194093,1.8818830353640121
63,63.0,0.06800049938937,1.8503878538042182,1.88138311184719
64,64.0,0.06769742314277,1.8421407289960012,1.8807699496151402
65,65.0,0.06753504456013,1.8377221826657082,1.8801076762774567
66,66.0,0.06759802182623,1.8394358813782714,1.8794914369608022
67,67.0,0.06793642091634,1.8486441897245458,1.8790310302856343
68,68.0,0.0685412886121,1.8651034782215918,1.8788262133435163
69,69.0,0.06935503284696,1.8872465869018131,1.878948247742912
70,70.0,0.07029216172219,1.9127471626879649,1.8794310893849842
71,71.0,0.07125772631842,1.9390215138614313,1.8802703911381735
72,72.0,0.07216120177057,1.9636063333536535,1.8814278347800553
73,73.0,0.07292637406424,1.9844277321814363,1.8828387922787044
74,74.0,0.07350196773208,2.000090433797775,1.884423273920854
75,75.0,0.07386700331557,2.0100235580536516,1.886097944375958
76,76.0,0.07404025671192,2.0147380231401604,1.8877905769912764
77,77.0,0.07408315601292,2.015905372589354,1.889454405505537
78,78.0,0.07408509285127,2.0159580766457923,1.8910762474432328
79,79.0,0.07413394466519,2.0172874022231864,1.8926738569974093
80,80.0,0.07428928884839,2.0215145327933093,1.894284365444858
81,81.0,0.07456590946109,2.029041763129091,1.8959480370212067
82,82.0,0.07494581196197,2.0393794368163536,1.8976972004333426
83,83.0,0.07538216140291,2.0512531099919924,1.8995472716328443
84,84.0,0.07579327066903,2.0624399630216885,1.9014864703398544
85,85.0,0.07606935148341,2.06995250469689,1.9034684236852313
86,86.0,0.0760959524866,2.0706763548692235,1.9054127019548126
87,87.0,0.07579323844898,2.0624390862694635,1.9072176029239463
88,88.0,0.07514179068388,2.044712289514241,1.9087800425442907
89,89.0,0.07420355378759,2.0191815629390573,1.9100205090655802
90,90.0,0.07311433297863,1.9895423547992792,1.910904085129288
91,91.0,0.07205099798502,1.9606075355792822,1.9114502768924746
92,92.0,0.07119391473455,1.9372851122057761,1.9117310903197933
93,93.0,0.07067325710364,1.9231172963091632,1.9118535226422595
94,94.0,0.07054289201791,1.9195698816083728,1.9119356115674309
95,95.0,0.07077158895668,1.9257930423425182,1.9120814792598002
96,96.0,0.0712493490501,1.9387935567774892,1.912359730067276
97,97.0,0.07183325892163,1.9546825538245374,1.9127960478379695
98,98.0,0.07236507055117,1.9691538854860586,1.9133711278139705
99,99.0,0.07270567894757,1.9784223121191256,1.9140282104837196
100,100.0,0.07275768439302,1.97983745238216,1.914686302902704
101,101.0,0.0724886629586,1.9725170062217077,1.9152588841236844
102,102.0,0.07193797010085,1.9575318901665655,1.915673325359399
103,103.0,0.07121893637231,1.9379659856553708,1.9158897589545054
104,104.0,0.0704854045684,1.9180055684154593,1.9159101032762453
105,105.0,0.06990370845271,1.902176810733628,1.9157793100139349
106,106.0,0.06960300266395,1.893994189369275,1.915573790007853
107,107.0,0.06965072305585,1.895292727385076,1.9153842473665188
108,108.0,0.07003843175123,1.905842818445989,1.9152959008024397
109,109.0,0.07069928573047,1.9238255713272872,1.915374154660466
110,110.0,0.07151568629746,1.9460409624870953,1.9156529438225263
111,111.0,0.072341289834,1.968506779205939,1.916129104501656
112,112.0,0.0730392600285,1.987499515756666,1.916766340316433
113,113.0,0.07349755050036,1.9999702347993045,1.9175026579667236
114,114.0,0.07365209351218,2.0041755643855566,1.9182629466195205
115,115.0,0.07351090030756,2.000333501559333,1.918976603618997
116,116.0,0.07316413353369,1.9908974969382813,1.9195966113200256
117,117.0,0.07275761193734,1.979835480762666,1.9201114734520137
118,118.0,0.072463263065,1.9718258399063513,1.9205497307948471
119,119.0,0.07241564007247,1.9705299522624278,1.9209697326559194
120,120.0,0.07265789183753,1.9771219586102478,1.9214376678722054
121,121.0,0.07315008250377,1.9905151489359745,1.9220085561454596
122,122.0,0.07377815364843,2.0076058354432775,1.9227101731888845
123,123.0,0.07440795008753,2.024743469603975,1.9235397121841291
124,124.0,0.07492558842127,2.0388291262391043,1.9244694655232821
125,125.0,0.07526316901041,2.048015162039341,1.9254578310954107
126,126.0,0.0753969057129,2.051654323106061,1.9264593905558125
127,127.0,0.07534445642499,2.050227105274415,1.9274339394906048
128,128.0,0.07515620747907,2.0451045904965857,1.928353241451589
129,129.0,0.07491322469665,2.03849269215303,1.929207035643073
130,130.0,0.07469705253346,2.0326103479248365,1.9300024457375482
131,131.0,0.07460819459512,2.0301924002436444,1.9307672545505716
132,132.0,0.07470694504083,2.032879536763823,1.9315408324461267
133,133.0,0.07501024046517,2.0411326257021796,1.932364830891661
134,134.0,0.07546180075068,2.0534202070445406,1.9332682292211603
135,135.0,0.07595384585013,2.0668094362961202,1.9342574233476415
136,136.0,0.07635006744428,2.077591175133537,1.935311347993126
137,137.0,0.07653285042998,2.082564953556614,1.9363861918293561
138,138.0,0.07643250383667,2.079834383647587,1.937425671480213
139,139.0,0.07603834539602,2.0691087860769435,1.93837303201688
140,140.0,0.07538647826549,2.051370577807028,1.9391801573439522
141,141.0,0.07453936433391,2.028319433420447,1.9398123507913032
142,142.0,0.07357270354079,2.0020152532100055,1.9402503993998856
143,143.0,0.07254429784271,1.9740309085419758,1.9404866267365437
144,144.0,0.07154301256105,1.9467845480003025,1.9405303623008754
145,145.0,0.0706659686178,1.9229189665058226,1.9404089043988408
146,146.0,0.06999530400804,1.9046692527681282,1.940164112264384
147,147.0,0.06957532689998,1.8932410934662347,1.939844908054873
148,148.0,0.06939883352738,1.8884384641345588,1.9394975672175734
149,149.0,0.06941279442982,1.8888183596431962,1.9391574383076784
150,150.0,0.06953527687675,1.8921512768149622,1.938844063897727
151,151.0,0.06967495686463,1.8959521629159999,1.9385600115733446
152,152.0,0.06974851065031,1.897953663387993,1.938292864545809
153,153.0,0.06971865310086,1.8971411980775506,1.938023899405494
154,154.0,0.0695729248454,1.8931757302312742,1.9377326775277393
155,155.0,0.06933520906067,1.8867071541962184,1.93740348060302
156,156.0,0.06905851986483,1.879178057618124,1.937030240712091
157,157.0,0.06880933257124,1.8723973259246542,1.9366185660956108
158,158.0,0.06863560047465,1.8676698347410186,1.936182181719949
159,159.0,0.06858544580337,1.8663050566087778,1.9357427029456649
160,160.0,0.06866645759887,1.8685094998666092,1.9353224954264205
161,161.0,0.06884894939341,1.8734753545745608,1.9349383516944216
162,162.0,0.06908603186064,1.879926697162508,1.934598773580027
163,163.0,0.06932977245834,1.8865592167103507,1.9343040523722375
164,164.0,0.06955060570775,1.8925683955560026,1.9340495666599433
165,165.0,0.0697214529898,1.8972173869369424,1.9338263413282886
