   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...      53
     3   ...       3
     4   ...      52
     5   ...      54
     6   ...      18
     7   ...      50
     8   ...      16
     9   ...      71
    10   ...      23
    11   ...      72
    12   ...      21
    13   ...      12
    14   ...       2
    15   ...      68
    16   ...      92
    17   ...     121
    18   ...      80
    19   ...     116
    20   ...     118
    21   ...      89
    22   ...     117
    23   ...      85
    24   ...     127
    25   ...     103
    26   ...     129
    27   ...     102
    28   ...      99
    29   ...     131
    30   ...     101
    31   ...     130
    32   ...      29
    33   ...      56
    34   ...      30
    35   ...      47
    36   ...      55
    37   ...      40
    38   ...      45
    39   ...      38
    40   ...      69
    41   ...      13
    42   ...      73
    43   ...      41
    44   ...      33
    45   ...      66
    46   ...      32
    47   ...      74
    48   ...      86
    49   ...     124
    50   ...     123
    51   ...     120
    52   ...      90
    53   ...     119
    54   ...      84
    55   ...     132
    56   ...     106
    57   ...     133
    58   ...     105
    59   ...      97
    60   ...     128
    61   ...     104
    62   ...     134
    63   ...      64
    64   ...      81
    65   ...      94
    66   ...     126
    67   ...       8
    68   ...      75
    69   ...      14
    70   ...     112
    71   ...      27
    72   ...      17
    73   ...     107
    74   ...      43
    75   ...     108
    76   ...      11
    77   ...      96
    78   ...     122
    79   ...     109
    80   ...      24
    81   ...      65
    82   ...      70
    83   ...     115
    84   ...      76
    85   ...      44
    86   ...      62
    87   ...      35
    88   ...      59
    89   ...      31
    90   ...      61
    91   ...      57
    92   ...      19
    93   ...      93
    94   ...      51
    95   ...      28
    96   ...       6
    97   ...      42
    98   ...      37
    99   ...      63
   100   ...      20
   101   ...      95
   102   ...     111
   103   ...      79
   104   ...       5
   105   ...      49
   106   ...     110
   107   ...      36
   108   ...      15
   109   ...     100
   110   ...      26
   111   ...      82
   112   ...     113
   113   ...      67
   114   ...       7
   115   ...      83
   116   ...      87
   117   ...     114
   118   ...     125
   119   ...      88
   120   ...      34
   121   ...      58
   122   ...      91
   123   ...      98
   124   ...      46
   125   ...      39
   126   ...      10
   127   ...      60
   128   ...      48
   129   ...      77
   130   ...       4
   131   ...      22
   132   ...       9
   133   ...      25
   134   ...      78
  ------------------------------------------------------------------------
