z_ang,phi_mean_ev,phi_std_ev,phi_min_ev,phi_max_ev
0.03669711663309579,-0.6276104357610153,0.46387606982309987,-1.6185331216207166,0.09939744284423474
0.11009134989928737,-0.11771237251697006,0.34681971747847407,-0.9776913731300731,0.4978549361785798
0.18348558316547897,0.14607250922951162,0.2638617352676911,-0.5825163712404285,0.6881318531176273
0.25687981643167057,0.15729969888260154,0.260984773058602,-0.44735833311928813,0.627847653871219
0.3302740496978621,-0.08332111855818795,0.3391441786544972,-0.8609769797655042,0.5000068558209965
0.4036682829640537,-0.5680209564500688,0.4514229039707353,-1.594366689966439,0.2028246650730197
0.4770625162302453,-1.2793991644074834,0.5652707001991111,-2.524597024356167,-0.33334794152392117
0.5504567494964369,-2.1867405059694356,0.6615437242700246,-3.602476839548966,-1.0918797250352934
0.6238509827626285,-3.2443358426561004,0.7270317666567915,-4.766167510810753,-2.0425481964352996
0.6972452160288201,-4.395197545891621,0.7552478646327612,-5.951995489372341,-3.1393647975942893
0.7706394492950116,-5.579968390088097,0.7475296715028125,-7.104298757607739,-4.3256652929331265
0.8440336825612033,-6.741685521727997,0.705795406945171,-8.167564075439067,-5.546234397392808
0.9174279158273948,-7.815188661927057,0.6189822614740045,-9.0559234400615,-6.751449554861582
0.9908221490935865,-8.708648169964581,0.46593376150664234,-9.638160556569108,-7.874694770490722
1.064216382359778,-9.305055603701767,0.2535977619673367,-9.79986201229474,-8.80721372464089
1.1376106156259695,-9.498491383065167,0.17399510705298563,-9.830260583470382,-9.18261256439727
1.2110048488921612,-9.246374827930314,0.3860416080212721,-9.913327677801359,-8.525416072715146
1.2843990821583529,-8.59506813347858,0.5819235365570457,-9.505429895290648,-7.532961742926289
1.3577933154245443,-7.654118962566139,0.7034901199131145,-8.693251023862292,-6.375190221395887
1.431187548690736,-6.544497349111202,0.7618763660599791,-7.641723998470634,-5.1614346255967645
1.5045817819569276,-5.362163622204933,0.7787204906568218,-6.472905195527375,-3.9580088825413418
1.577976015223119,-4.175102218075697,0.7626663507774938,-5.285066738436942,-2.807739640005425
1.6513702484893107,-3.040581506190102,0.7123498473355848,-4.09753019986858,-1.7773952758662932
1.7247644817555023,-2.016000608317948,0.6285979734869459,-2.967057497875353,-0.9171156034092545
1.7981587150216938,-1.1552228119976609,0.5193376090466485,-1.9862931954361538,-0.26522776383912644
1.8715529482878854,-0.5008577641921563,0.3985589478743059,-1.268153678430539,0.15293556657836038
1.944947181554077,-0.08109935657422257,0.2883269720039464,-0.7799707035214019,0.3985432743576953
2.0183414148202687,0.08868932733841081,0.23147643818151692,-0.544129715909181,0.47329157674098526
2.0917356480864604,0.0030223329645777315,0.27058291118340017,-0.8004365396514234,0.5142727040854449
2.1651298813526516,-0.33529643163145917,0.3717703148007476,-1.4277345367024605,0.3313826824812905
2.2385241146188433,-0.9144769664075489,0.48717676140304816,-2.2563370003665626,-0.09694511128664589
2.311918347885035,-1.7115561932544956,0.5929784217687026,-3.2476852193179213,-0.7598190358392621
2.3853125811512266,-2.6907472226183105,0.6764415103174939,-4.356906945355587,-1.6341449817272593
2.4587068144174182,-3.804483861701848,0.7308462501376096,-5.53216168971019,-2.681237014413483
2.53210104768361,-4.997484899865119,0.753322173022639,-6.708091317119539,-3.8490693029157117
2.605495280949801,-6.210291300631968,0.7409561051942477,-7.8064817890793226,-5.058749777063294
2.6788895142159928,-7.375711473696283,0.6867087567559738,-8.739052731100761,-6.237663221858762
2.7522837474821844,-8.409090609721606,0.5821254465711935,-9.401704536075073,-7.3520977587755105
2.825677980748376,-9.207406641062502,0.4374527350402826,-9.954941028241825,-8.33198340536452
2.8990722140145677,-9.6677144471487,0.3213736057921353,-10.247861475531186,-9.048734962019939
2.9724664472807594,-9.71997345818438,0.3526065543203333,-10.325849402669233,-9.147742251021207
3.045860680546951,-9.357910625146623,0.4864649815961132,-10.134715420467218,-8.39043148007351
3.1192549138131422,-8.639292897760177,0.6191763946949486,-9.508991476881649,-7.415756249008335
3.192649147079334,-7.654132503410719,0.7228666652028645,-8.697837509605039,-6.290532237378082
3.2660433803455255,-6.491616024834388,0.7986055770078158,-7.665228963507638,-5.020158350871906
3.339437613611717,-5.224201668015002,0.8480008453237381,-6.495785209838446,-3.690676065352731
3.412831846877909,-3.910759537929848,0.8680090353727417,-5.235000445421104,-2.376155321234576
3.4862260801441005,-2.6058410204945575,0.8553663582047651,-3.9246896824905684,-1.1265983419948076
3.5596203134102917,-1.360661828985906,0.8116680982961817,-2.625148341082545,0.016347329736471322
3.6330145466764834,-0.21678081128272497,0.7440448602734132,-1.4199032315607292,1.0404975001144978
3.706408779942675,0.7991571540482008,0.662301612311893,-0.3115945285066715,1.927897985012225
3.7798030132088667,1.6758897084345166,0.5757881017263378,0.6617244192749278,2.6716108829562115
3.8531972464750583,2.41434852187608,0.4915362666628263,1.5036705087563556,3.281443528566979
