surface_distance_A,bin_width_A,rho_num_per_A3,rho_g_cm3,rho_cos_g_cm3,cos_theta_mean,theta_mean_deg,samples_density_equiv_per_frame,samples_orient_equiv_per_frame
10.900000,0.200000,3.98346525e-02,1.191657,-0.295508,-0.247981,106.212010,0.832768,0.832768
11.100000,0.200000,5.13826030e-02,1.537114,-0.475918,-0.309618,110.822056,1.074185,1.074185
11.300000,0.200000,5.69771192e-02,1.704475,-0.529870,-0.310870,110.743849,1.191142,1.191142
11.500000,0.200000,5.22663003e-02,1.563550,-0.385254,-0.246397,106.708551,1.092660,1.092660
11.700000,0.200000,4.58887772e-02,1.372766,-0.132115,-0.096240,96.996464,0.959334,0.959334
11.900000,0.200000,3.56402556e-02,1.066181,0.056506,0.052998,86.994363,0.745082,0.745082
12.100000,0.200000,2.12410579e-02,0.635428,0.188265,0.296281,70.994831,0.444058,0.444058
12.300000,0.200000,1.81402819e-02,0.542668,0.311752,0.574480,52.191142,0.379234,0.379234
12.500000,0.200000,2.45356500e-02,0.733986,0.309472,0.421632,61.744354,0.512933,0.512933
12.700000,0.200000,3.39339527e-02,1.015137,0.129304,0.127376,80.877249,0.709411,0.709411
12.900000,0.200000,4.00923262e-02,1.199365,-0.103215,-0.086058,94.712745,0.838155,0.838155
13.100000,0.200000,4.48642783e-02,1.342118,-0.292870,-0.218215,103.237069,0.937916,0.937916
13.300000,0.200000,4.47645493e-02,1.339135,-0.406325,-0.303423,109.032851,0.935831,0.935831
13.500000,0.200000,4.63147613e-02,1.385510,-0.498906,-0.360089,113.296502,0.968239,0.968239
13.700000,0.200000,4.18381983e-02,1.251593,-0.503978,-0.402669,116.406771,0.874654,0.874654
13.900000,0.200000,3.88991184e-02,1.163670,-0.524632,-0.450843,120.111599,0.813210,0.813210
14.100000,0.200000,3.08849506e-02,0.923926,-0.440654,-0.476936,122.480266,0.645669,0.645669
14.300000,0.200000,1.84808668e-02,0.552857,-0.198347,-0.358768,114.304843,0.386354,0.386354
14.500000,0.200000,2.20760823e-02,0.660408,-0.039531,-0.059859,94.060647,0.461514,0.461514
14.700000,0.200000,4.63634370e-02,1.386966,-0.040719,-0.029358,91.955590,0.969257,0.969257
14.900000,0.200000,7.35783981e-02,2.201103,-0.237356,-0.107835,96.995400,1.538202,1.538202
15.100000,0.200000,8.82339799e-02,2.639526,-0.457343,-0.173267,101.583839,1.844587,1.844587
15.300000,0.200000,8.05869655e-02,2.410765,-0.464595,-0.192717,103.362909,1.684721,1.684721
15.500000,0.200000,4.83127700e-02,1.445280,-0.149468,-0.103418,97.658697,1.010009,1.010009
15.700000,0.200000,2.71340909e-02,0.811718,0.092740,0.114251,83.230891,0.567255,0.567255
15.900000,0.200000,1.37561703e-02,0.411517,0.062096,0.150896,80.401218,0.287581,0.287581
16.100000,0.200000,6.29293104e-03,0.188254,-0.000238,-0.001263,90.355602,0.131558,0.131558
16.300000,0.200000,3.29085745e-03,0.098446,-0.000176,-0.001783,90.959644,0.068797,0.068797
16.500000,0.200000,3.38499743e-03,0.101262,0.041967,0.414439,64.306405,0.070765,0.070765
16.700000,0.200000,5.12051024e-03,0.153180,0.085477,0.558016,54.796742,0.107047,0.107047
16.900000,0.200000,9.73047070e-03,0.291088,0.061226,0.210336,77.245820,0.203422,0.203422
17.100000,0.200000,2.98331357e-02,0.892461,-0.064026,-0.071741,95.000365,0.623680,0.623680
17.300000,0.200000,6.39106987e-02,1.911893,-0.319485,-0.167104,100.723596,1.336093,1.336093
17.500000,0.200000,8.92492860e-02,2.669899,-0.370836,-0.138895,98.440800,1.865812,1.865812
17.700000,0.200000,9.68054785e-02,2.895943,-0.085365,-0.029477,91.026303,2.023779,2.023779
17.900000,0.200000,7.35925979e-02,2.201528,0.101036,0.045893,86.084050,1.538499,1.538499
18.100000,0.200000,4.48428562e-02,1.341477,0.022266,0.016598,87.898099,0.937468,0.937468
18.300000,0.200000,3.90006435e-02,1.166707,-0.389897,-0.334186,110.681693,0.815333,0.815333
18.500000,0.200000,5.59457807e-02,1.673622,-0.899438,-0.537420,123.891879,1.169582,1.169582
18.700000,0.200000,4.74221254e-02,1.418636,-0.834376,-0.588154,127.389521,0.991389,0.991389
18.900000,0.200000,2.27802960e-02,0.681474,-0.452452,-0.663931,134.087448,0.476236,0.476236
19.100000,0.200000,8.82895019e-03,0.264119,-0.218361,-0.826754,151.008429,0.184575,0.184575
19.300000,0.200000,2.38091647e-03,0.071225,-0.066624,-0.935392,163.119041,0.049775,0.049775
19.500000,0.200000,2.61038639e-04,0.007809,-0.007538,-0.965301,166.719505,0.005457,0.005457
19.700000,0.200000,1.06964367e-05,0.000320,-0.000311,-0.973012,167.804051,0.000224,0.000224
19.900000,0.200000,1.08315541e-07,0.000003,-0.000003,-0.974925,168.102822,0.000002,0.000002
